ONS code,Planning authority,Dwellings,"Offices, research and development, light industry","General industry, storage, warehousing","Retail
and
service",Traveller pitches,All other major and minor developments,Change of Use,Householder developments,Advertisements,Listed building consents (to alter/extend),listed building consents (to demolish),Conservation area consents,Total,Enforcement Notices issued,Stop Notices issued,Temporary Stop Notices issued,Breach of Condition Notices served,Planning Contravention Notices served ,Enforcement injunctions granted by High Court or County Court,Enforcement injunctions refused by High Court or County Court    ,Year
E09000013,Hammersmith and Fulham,257,13,1,64,0,246,108,1873,114,59,2,33,2950,28,0,1,2,26,0,0,2013
E09000014,Haringey,196,8,6,80,0,88,86,979,103,43,2,18,1965,99,0,0,0,118,0,0,2013
E09000015,Harrow,199,16,4,52,0,133,39,1086,53,24,2,5,2089,23,0,0,1,0,0,0,2013
E09000016,Havering,183,6,8,14,0,225,62,983,81,9,1,1,1820,0,0,0,0,0,0,0,2013
E09000017,Hillingdon,221,3,10,44,0,241,52,1254,102,36,0,6,2482,60,1,0,1,70,2,0,2013
E09000018,Hounslow,158,27,31,63,0,163,82,1024,128,37,0,13,2623,144,0,0,1,35,0,0,2013
E09000019,Islington,187,32,6,70,0,608,133,506,153,314,0,13,2183,20,0,0,1,21,0,0,2013
E09000020,Kensington and Chelsea,897,3,2,84,0,344,142,1359,208,695,5,62,4169,26,0,0,1,1,0,0,2013
E09000021,Kingston upon Thames,115,1,2,14,0,201,65,877,95,16,1,7,1760,0,0,0,0,0,0,0,2013
E09000022,Lambeth,291,4,1,13,0,632,113,997,144,140,3,27,2792,13,0,0,2,4,0,0,2013
E09000023,Lewisham,173,4,6,4,0,758,68,465,74,26,1,8,1853,1,0,0,21,22,0,0,2013
E09000024,Merton,168,1,2,3,0,209,60,996,63,28,2,18,2001,20,0,0,2,3,0,0,2013
E09000025,Newham,143,3,5,27,0,234,89,479,62,11,0,2,1374,451,34,7,3,260,1,0,2013
E09000026,Redbridge,158,0,2,4,0,266,86,1109,67,16,0,11,2258,61,0,2,51,4,0,0,2013
E09000027,Richmond upon Thames,207,17,8,62,0,713,80,1786,128,152,0,26,4019,18,0,0,1,30,0,0,2013
E09000028,Southwark,667,39,14,102,0,289,69,587,163,142,1,15,2408,29,0,1,1,77,0,0,2013
E09000029,Sutton,140,4,3,23,0,156,51,704,85,13,0,5,1387,5,0,0,1,0,0,0,2013
E09000030,Tower Hamlets,243,19,5,64,0,271,161,217,132,166,1,29,1468,77,13,0,11,1,0,0,2013
E09000031,Waltham Forest,314,0,6,54,0,176,77,467,92,9,0,2,1542,124,5,6,3,4,0,0,2013
E09000032,Wandsworth,1087,31,7,120,0,201,126,1648,159,48,3,26,3927,12,0,0,0,8,0,0,2013
E09000033,Westminster,270,76,2,476,0,2145,447,603,1189,2095,12,110,7576,212,0,0,9,659,0,0,2013
NaN,England,"58,360","2,694","2,805","7,364",273,"67,151","21,780","197,312","21,644","29,216",789,421,"409,809","5,005",139,277,918,"5,087",41,5,2014
NaN,London boroughs,"10,164",658,199,"1,900",4,"13,159","3,119","34,068","5,251","5,342",87,218,"74,169","2,623",53,78,267,"2,381",6,0,2014
E09000002,Barking and Dagenham,63,5,9,20,0,87,36,306,26,3,0,0,555,51,2,0,5,3,0,0,2014
E09000003,Barnet,493,7,0,2,0,540,74,"2,066",109,117,1,1,"3,410",77,0,0,5,43,0,0,2014
E09000004,Bexley,134,2,4,8,0,220,69,"1,103",63,7,0,0,"1,610",5,0,1,1,34,0,0,2014
E09000005,Brent,210,17,30,66,0,542,71,"1,200",104,4,0,4,"2,248",199,1,0,0,253,0,0,2014
E09000006,Bromley,234,4,0,2,0,546,109,"1,909",126,29,2,0,"2,961",19,0,0,3,7,0,0,2014
E09000007,Camden,860,133,1,161,0,225,131,507,262,553,7,9,"2,849",56,0,0,0,0,0,0,2014
E09000001,City of London,11,93,3,42,0,91,80,0,98,123,2,0,543,0,0,0,0,0,0,0,2014
E09000008,Croydon,393,18,6,96,0,296,100,"1,108",209,13,0,0,"2,239",19,0,1,0,0,0,0,2014
E09000009,Ealing,287,12,24,40,0,563,119,"1,309",117,65,3,1,"2,540",102,0,2,4,185,1,0,2014
E09000010,Enfield,211,8,17,47,0,358,90,996,80,18,1,1,"1,827",33,1,4,3,18,0,0,2014
E09000011,Greenwich,114,1,0,2,0,407,101,734,103,108,1,1,"1,572",10,0,2,2,4,0,0,2014
