ONS code,Planning authority,Dwellings,"Offices, research and development, light industry","General industry, storage, warehousing","Retail
and
service",Traveller pitches,All other major and minor developments,Change of Use,Householder developments,Advertisements,Listed building consents (to alter/extend),listed building consents (to demolish),Conservation area consents,Total,Enforcement Notices issued,Stop Notices issued,Temporary Stop Notices issued,Breach of Condition Notices served,Planning Contravention Notices served ,Enforcement injunctions granted by High Court or County Court,Enforcement injunctions refused by High Court or County Court    ,Year
E09000005,Brent,448,10,20,40,0,504,80,"1,106",97,2,0,0,"2,307",141,0,0,2,59,0,0,2018
E09000006,Bromley,232,3,2,6,1,519,72,"1,972",97,26,2,0,"2,932",31,0,0,2,1,0,0,2018
E09000007,Camden,591,111,0,105,0,344,88,339,220,479,3,0,"2,280",43,0,0,5,50,0,0,2018
E09000001,City of London,7,94,0,35,0,94,54,5,118,144,0,0,551,0,0,0,0,0,0,0,2018
E09000008,Croydon,538,13,5,31,0,348,91,"1,154",86,19,0,0,"2,285",3,0,0,0,0,0,0,2018
E09000009,Ealing,458,15,13,80,0,488,68,"1,121",81,48,2,0,"2,374",82,0,1,0,45,0,0,2018
E09000010,Enfield,330,5,6,6,0,339,82,"1,057",87,20,0,0,"1,932",15,0,1,3,5,0,0,2018
E09000011,Greenwich,201,1,2,1,0,463,86,887,73,87,0,0,"1,801",7,0,0,1,17,0,0,2018
E09000012,Hackney,267,21,0,9,0,739,121,592,111,83,0,0,"1,943",20,0,0,0,0,0,0,2018
E09000013,Hammersmith and Fulham,297,12,1,37,0,191,98,"1,133",130,59,0,0,"1,958",12,0,0,1,0,0,0,2018
E09000014,Haringey,231,9,6,10,0,290,105,979,87,30,1,0,"1,748",98,0,2,16,75,0,0,2018
E09000015,Harrow,279,28,3,52,0,146,30,"1,395",83,19,0,0,"2,035",38,0,0,2,0,0,0,2018
E09000016,Havering,255,5,11,4,1,195,72,"1,205",74,8,0,0,"1,830",48,0,1,3,1,0,0,2018
E09000017,Hillingdon,318,3,1,7,1,262,72,"1,657",73,36,1,0,"2,431",27,1,1,1,27,0,0,2018
E09000018,Hounslow,207,22,11,27,0,280,63,974,111,41,0,0,"1,736",49,3,3,7,37,0,0,2018
E09000019,Islington,515,63,13,79,0,113,49,411,136,271,0,0,"1,650",43,0,0,1,18,0,0,2018
E09000020,Kensington and Chelsea,575,10,0,63,0,300,124,772,212,511,0,0,"2,567",17,2,11,30,2,0,0,2018
E09000021,Kingston upon Thames,155,3,0,6,1,169,37,934,38,21,0,0,"1,364",1,0,0,2,5,0,0,2018
E09000022,Lambeth,165,3,1,0,0,549,81,986,119,148,8,0,"2,060",23,0,0,10,25,0,0,2018
E09000023,Lewisham,211,7,1,1,0,545,85,837,86,28,0,0,"1,801",34,0,0,1,26,0,0,2018
E09000024,Merton,228,0,0,1,0,162,46,"1,052",64,21,1,0,"1,575",19,0,0,0,2,0,0,2018
E09000025,Newham,162,0,0,1,0,413,25,596,95,17,0,0,"1,309",154,12,4,2,55,0,0,2018
E09000026,Redbridge,195,0,0,0,0,260,72,"1,126",44,13,0,0,"1,710",15,0,0,26,0,0,0,2018
E09000027,Richmond upon Thames,150,12,0,25,0,645,46,"1,740",66,115,0,0,"2,799",12,0,0,0,0,0,0,2018
E09000028,Southwark,489,29,6,54,0,257,112,622,170,182,1,0,"1,922",14,0,0,2,39,0,0,2018
E09000029,Sutton,200,6,4,7,0,163,36,868,52,19,0,1,"1,356",12,0,0,1,0,0,0,2018
E09000030,Tower Hamlets,141,37,6,40,0,311,107,228,133,163,2,0,"1,168",10,0,0,2,0,0,0,2018
E09000031,Waltham Forest,428,1,2,1,0,129,57,774,40,7,1,0,"1,440",69,0,0,3,77,0,0,2018
E09000032,Wandsworth,986,40,8,107,0,127,77,"1,249",146,59,0,0,"2,799",13,0,0,5,10,0,0,2018
E09000033,Westminster,133,48,1,472,0,"1,899",318,435,"1,106","1,736",1,0,"6,149",122,0,0,2,209,0,0,2018
NaN,England,"54,769","2,034","2,434","3,704",248,"52,915","18,479","183,957","13,191","24,701",317,88,"356,837","3,126",86,194,666,"3,452",44,7,2019
NaN,London boroughs,"9,364",484,169,"1,012",3,"10,568","2,607","27,520","2,952","3,990",21,0,"58,810","1,253",17,19,243,"1,037",1,0,2019
E09000002,Barking and Dagenham,129,1,15,8,0,112,26,505,45,7,1,0,849,52,1,1,7,0,0,0,2019
E09000003,Barnet,421,4,0,0,0,471,141,"1,525",75,68,0,0,"2,705",117,0,1,11,114,0,0,2019
E09000004,Bexley,178,6,29,13,0,69,79,"1,218",34,8,0,0,"1,634",18,0,0,4,21,0,0,2019
E09000005,Brent,390,9,16,32,0,435,89,882,67,5,0,0,"1,925",157,0,0,10,67,0,0,2019
E09000006,Bromley,156,0,0,7,1,486,75,"1,720",48,22,2,0,"2,517",55,0,0,7,5,0,0,2019
E09000007,Camden,434,84,0,76,0,332,74,311,171,440,0,0,"1,922",64,0,0,7,39,0,0,2019
E09000001,City of London,2,65,0,15,0,111,59,3,93,140,0,0,488,0,0,0,0,0,0,0,2019
E09000008,Croydon,571,8,5,12,0,289,113,"1,084",61,12,1,0,"2,156",1,0,0,1,1,0,0,2019
E09000009,Ealing,473,25,29,68,0,418,65,970,51,31,0,0,"2,130",143,0,2,3,271,0,0,2019
E09000010,Enfield,309,14,13,29,0,245,84,946,59,28,1,0,"1,728",6,0,0,0,10,0,0,2019
E09000011,Greenwich,125,2,0,1,0,267,66,601,49,71,3,0,"1,185",8,0,0,2,13,0,0,2019
E09000012,Hackney,271,17,0,15,0,615,96,372,77,82,1,0,"1,546",22,1,0,3,0,0,0,2019
E09000013,Hammersmith and Fulham,222,8,0,17,0,125,70,849,50,43,0,0,"1,384",9,0,0,2,2,0,0,2019
E09000014,Haringey,176,3,8,13,1,230,98,856,44,38,0,0,"1,467",82,3,2,22,122,0,0,2019
E09000015,Harrow,241,18,3,44,0,181,34,"1,128",33,19,1,0,"1,702",28,0,0,7,0,0,0,2019
E09000016,Havering,249,7,5,6,1,122,90,"1,159",37,4,0,0,"1,680",38,0,5,6,0,1,0,2019
E09000017,Hillingdon,359,1,5,4,0,267,63,"1,532",94,35,1,0,"2,361",17,0,1,2,39,0,0,2019
E09000018,Hounslow,173,6,11,14,0,324,93,794,86,42,0,0,"1,543",31,2,1,7,26,0,0,2019
E09000019,Islington,436,83,1,58,0,117,34,370,88,224,1,0,"1,412",14,4,0,0,5,0,0,2019
E09000020,Kensington and Chelsea,511,0,0,58,0,194,124,602,136,471,1,0,"2,097",35,0,5,6,0,0,0,2019
E09000021,Kingston upon Thames,157,1,1,8,0,164,45,890,54,19,0,0,"1,339",0,0,0,2,4,0,0,2019
E09000022,Lambeth,120,4,1,0,0,641,89,753,96,152,2,0,"1,858",33,0,0,10,36,0,0,2019
E09000023,Lewisham,212,2,0,0,0,464,68,716,56,44,0,0,"1,562",4,0,0,1,65,0,0,2019
E09000024,Merton,155,0,1,0,0,160,34,811,39,22,0,0,"1,222",3,0,0,0,0,0,0,2019
E09000025,Newham,241,0,0,3,0,453,32,531,88,14,0,0,"1,362",23,3,1,0,5,0,0,2019
E09000026,Redbridge,267,0,0,0,0,169,113,"1,283",30,9,0,0,"1,871",54,0,0,107,64,0,0,2019
E09000027,Richmond upon Thames,141,5,0,8,0,694,42,"1,392",51,86,2,0,"2,421",14,0,0,0,0,0,0,2019
E09000028,Southwark,559,9,5,35,0,216,55,551,138,134,0,0,"1,702",3,0,0,0,15,0,0,2019
E09000029,Sutton,215,10,4,22,0,57,48,766,28,17,0,0,"1,167",6,0,0,0,0,0,0,2019
E09000030,Tower Hamlets,127,16,3,31,0,344,91,190,81,126,3,0,"1,012",16,0,0,3,0,0,0,2019
E09000031,Waltham Forest,430,7,9,16,0,91,62,706,38,9,0,0,"1,368",45,2,0,1,73,0,0,2019
E09000032,Wandsworth,812,34,4,57,0,113,56,"1,079",94,55,1,0,"2,305",33,1,0,3,10,0,0,2019
E09000033,Westminster,102,35,1,342,0,"1,592",299,425,761,"1,513",0,0,"5,070",122,0,0,9,30,0,0,2019
